Net,Ref,Pin,Domain,Component
PE_CHASSIS,J_PE,PE,HV,PE / CHASSIS / MOTOR FRAME
PFC_TO_STEVAL,R_PFC,2,HOT,100R
PFC_TO_STEVAL,J_STEVAL_J2,P27,HOT,STEVAL-IPM15B J2
PFC_TO_STEVAL,R_PFC_PD,1,HOT,47K
PRECHARGE_MID,RPRE1,2,HV,20R 25W pulse-rated
PRECHARGE_MID,RPRE2,1,HV,20R 25W pulse-rated
PWM_UH,R_PWM_UH,2,HOT,33R
PWM_UH,J_STEVAL_J2,P3,HOT,STEVAL-IPM15B J2
PWM_UH,U_LA1,HI1,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_UH,R_PWM_UH_PD,1,HOT,47K
PWM_UL,R_PWM_UL,2,HOT,33R
PWM_UL,J_STEVAL_J2,P5,HOT,STEVAL-IPM15B J2
PWM_UL,U_LA1,HI2,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_UL,R_PWM_UL_PD,1,HOT,47K
PWM_VH,R_PWM_VH,2,HOT,33R
PWM_VH,J_STEVAL_J2,P7,HOT,STEVAL-IPM15B J2
PWM_VH,U_LA1,HI3,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_VH,R_PWM_VH_PD,1,HOT,47K
PWM_VL,R_PWM_VL,2,HOT,33R
PWM_VL,J_STEVAL_J2,P9,HOT,STEVAL-IPM15B J2
PWM_VL,U_LA1,HI4,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_VL,R_PWM_VL_PD,1,HOT,47K
PWM_WH,R_PWM_WH,2,HOT,33R
PWM_WH,J_STEVAL_J2,P11,HOT,STEVAL-IPM15B J2
PWM_WH,U_LA2,HI1,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_WH,R_PWM_WH_PD,1,HOT,47K
PWM_WL,R_PWM_WL,2,HOT,33R
PWM_WL,J_STEVAL_J2,P13,HOT,STEVAL-IPM15B J2
PWM_WL,U_LA2,HI2,BARRIER,ISO7740FDWR reinforced 4/0 monitor
PWM_WL,R_PWM_WL_PD,1,HOT,47K
Q1_GATE,R_Q1_GATE,2,HOT,100R
Q1_GATE,Q1,G,HOT,AO3400A (AOS)
Q1_GATE,R_Q1_PD,1,HOT,100K
RECT_DC_PLUS,BR1,PLUS,HV,KBPC5010
RECT_DC_PLUS,RPRE1,1,HV,20R 25W pulse-rated
RECT_DC_PLUS,K1,COM,HV,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A"
SAFE_3V3,JP_SAFE_3V3,COMMON,SAFE,UNOQ/EXT 3V3 SELECT
SAFE_3V3,U_UART_ISO,VCC_SAFE,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
SAFE_3V3,C_UART_SAFE,1,SAFE,100nF
SAFE_3V3,U_LA1,VCC_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_3V3,U_LA2,VCC_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_3V3,C_LA1_SAFE,1,SAFE,100nF
SAFE_3V3,C_LA2_SAFE,1,SAFE,100nF
SAFE_3V3,U_LA1,EN_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_3V3,U_LA2,EN_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_3V3,R_UART_TX_PU,1,SAFE,47K
SAFE_5V,J_SAFE_5V,V5,SAFE,SAFE 5V FOR E-STOP LOOP
SAFE_5V,J_ESTOP,OUT,SAFE,NC PWM-INHIBIT LOOP / E-STOP AUX CONTACT
SAFE_GND,U_UNOQ,GND,SAFE,Arduino UNO Q
SAFE_GND,J_SAFE_DC_IN,GND,SAFE,UNO Q SAFE 7-24V
SAFE_GND,J_PC_UART,GND,SAFE,"USB-UART SAFE SIDE, 3.3V LOGIC"
SAFE_GND,J_SAFE_3V3,GND,SAFE,SAFE 3.3V INPUT
SAFE_GND,J_SAFE_5V,GND,SAFE,SAFE 5V FOR E-STOP LOOP
SAFE_GND,U_UART_ISO,GND_SAFE,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
SAFE_GND,C_UART_SAFE,2,SAFE,100nF
SAFE_GND,U_LA1,GND_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_GND,U_LA2,GND_SAFE,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_GND,C_LA1_SAFE,2,SAFE,100nF
SAFE_GND,C_LA2_SAFE,2,SAFE,100nF
SAFE_GND,J_SALEAE,GND,SAFE,SAFE ISOLATED SALEAE
SAFE_GND,U_ESTOP_OPTO,LED_K,BARRIER,LTV-817
SAFE_LA_CH0,U_LA1,SO1,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH0,J_SALEAE,CH0,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH1,U_LA1,SO2,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH1,J_SALEAE,CH1,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH2,U_LA1,SO3,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH2,J_SALEAE,CH2,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH3,U_LA1,SO4,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH3,J_SALEAE,CH3,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH4,U_LA2,SO1,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH4,J_SALEAE,CH4,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH5,U_LA2,SO2,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH5,J_SALEAE,CH5,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH6,U_LA2,SO3,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH6,J_SALEAE,CH6,SAFE,SAFE ISOLATED SALEAE
SAFE_LA_CH7,U_LA2,SO4,BARRIER,ISO7740FDWR reinforced 4/0 monitor
SAFE_LA_CH7,J_SALEAE,CH7,SAFE,SAFE ISOLATED SALEAE
SAFE_UART_RX,JP_UART_RX,COMMON,SAFE,UNOQ/PC RX SELECT
SAFE_UART_RX,U_UART_ISO,RX_SAFE_OUT,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
SAFE_UART_TX,JP_UART_TX,COMMON,SAFE,UNOQ/PC TX SELECT
SAFE_UART_TX,U_UART_ISO,TX_SAFE_IN,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
SAFE_UART_TX,R_UART_TX_PU,2,SAFE,47K
SAFE_VIN_7_24V,J_SAFE_DC_IN,VIN,SAFE,UNO Q SAFE 7-24V
SAFE_VIN_7_24V,U_UNOQ,VIN,SAFE,Arduino UNO Q
STEVAL_ADC_IA,J_STEVAL_J2,P15,HOT,STEVAL-IPM15B J2
STEVAL_ADC_IA,R_ADC_IA,1,HOT,100R
STEVAL_ADC_IB,J_STEVAL_J2,P17,HOT,STEVAL-IPM15B J2
STEVAL_ADC_IB,R_ADC_IB,1,HOT,100R
STEVAL_ADC_IC,J_STEVAL_J2,P19,HOT,STEVAL-IPM15B J2
STEVAL_ADC_IC,R_ADC_IC,1,HOT,100R
STEVAL_ADC_PHASE_A,J_STEVAL_J2,P31,HOT,STEVAL-IPM15B J2
STEVAL_ADC_PHASE_A,R_ADC_PHASE_A,1,HOT,100R
STEVAL_ADC_PHASE_B,J_STEVAL_J2,P33,HOT,STEVAL-IPM15B J2
STEVAL_ADC_PHASE_B,R_ADC_PHASE_B,1,HOT,100R
STEVAL_ADC_TEMP,J_STEVAL_J2,P26,HOT,STEVAL-IPM15B J2
STEVAL_ADC_TEMP,R_ADC_TEMP,1,HOT,100R
STEVAL_ADC_VBUS,J_STEVAL_J2,P14,HOT,STEVAL-IPM15B J2
STEVAL_ADC_VBUS,R_ADC_VBUS,1,HOT,100R
UNOQ_3V3_OUT,U_UNOQ,OUT_3V3,SAFE,Arduino UNO Q
UNOQ_3V3_OUT,JP_SAFE_3V3,UNO,SAFE,UNOQ/EXT 3V3 SELECT
UNOQ_RX,U_UNOQ,RX_D0,SAFE,Arduino UNO Q
UNOQ_RX,JP_UART_RX,UNO,SAFE,UNOQ/PC RX SELECT
UNOQ_TX,U_UNOQ,TX_D1,SAFE,Arduino UNO Q
UNOQ_TX,JP_UART_TX,UNO,SAFE,UNOQ/PC TX SELECT
